date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:45:05	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2020%20Mar%202024%2014:45:04%20GMT	http://needlebar.org/robots.txt		(from )
10:45:06	955/955	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20Mar%202024%2014:45:05%20GMT	http://needlebar.org/	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/index.html	(from )
10:45:08	236/236	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Mar%202024%2014:45:07%20GMT	http://needlebar.org/nbwiki	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/nbwiki	(from http://needlebar.org/)
10:45:10	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2020%20Mar%202024%2014:45:08%20GMT	http://needlebar.org/cm	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/cm	(from http://needlebar.org/)
10:45:10	0/0	---MCZ	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2020%20Mar%202024%2014:45:09%20GMT	http://needlebar.org/nbwiki/	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/nbwiki/index.html	(from http://needlebar.org/)
10:45:12	90290/90290	---M--	200	added ('OK')	image/jpeg	date:Sun,%2019%20May%202013%2007:55:28%20GMT	http://needlebar.org/logo107.jpg	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/logo107.jpg	(from http://needlebar.org/)
10:45:12	234/234	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Mar%202024%2014:45:10%20GMT	http://needlebar.org/main	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main	(from http://needlebar.org/)
10:45:12	233/233	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Mar%202024%2014:45:12%20GMT	http://needlebar.org/bb2	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/bb2	(from http://needlebar.org/)
10:45:14	0/0	---MCZ	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2020%20Mar%202024%2014:45:13%20GMT	http://needlebar.org/nbwiki/	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/nbwiki/index.html	(from http://needlebar.org/)
10:45:14	0/0	---MCZ	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2020%20Mar%202024%2014:45:13%20GMT	http://needlebar.org/bb2/	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/bb2/index.html	(from http://needlebar.org/)
10:45:14	14877/14877	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20May%202013%2021:43:43%20GMT	http://needlebar.org/main/	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/index.html	(from http://needlebar.org/)
10:45:14	2422/2422	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20May%202013%2019:31:26%20GMT	http://needlebar.org/main/survey/index.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/survey/index.html	(from http://needlebar.org/main/)
10:45:15	70190/70190	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20May%202013%2019:40:32%20GMT	http://needlebar.org/main/biblio/index.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/biblio/index.html	(from http://needlebar.org/main/)
10:45:16	30836/30836	---MCZ	200	added ('OK')	text/html	date:Sun,%2031%20Oct%202010%2011:42:56%20GMT	http://needlebar.org/main/manuals/index.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/manuals/index.html	(from http://needlebar.org/main/)
10:45:17	21356/21356	---M--	200	added ('OK')	image/jpeg	date:Wed,%2021%20Mar%202007%2015:31:34%20GMT	http://needlebar.org/main/graphics/logo.jpg	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/graphics/logo.jpg	(from http://needlebar.org/main/)
10:45:18	2467/2467	---M--	200	added ('OK')	image/gif	date:Tue,%2004%20Nov%202008%2010:57:08%20GMT	http://needlebar.org/main/sig.gif	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/sig.gif	(from http://needlebar.org/main/)
10:45:19	22914/22914	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Mar%202007%2015:34:18%20GMT	http://needlebar.org/main/harris/index.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/harris/index.html	(from http://needlebar.org/main/)
10:45:20	11613/11613	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Mar%202007%2015:24:19%20GMT	http://needlebar.org/main/bradbury/index.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/bradbury/index.html	(from http://needlebar.org/main/)
10:45:21	5961/5961	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Mar%202007%2015:36:12%20GMT	http://needlebar.org/main/lion/index.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/lion/index.html	(from http://needlebar.org/main/)
10:45:22	16081/16081	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20Nov%202012%2009:46:23%20GMT	http://needlebar.org/main/makers/australia/pinnock/history/index.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/makers/australia/pinnock/history/index.html	(from http://needlebar.org/main/)
